"Month","Hour","DayOfWeek","Holiday","Temperature","Humidity","SquareFootage","Occupancy","HVACUsage","LightingUsage","RenewableEnergy","EnergyConsumption"
"8",3,"Sunday","Yes",24.492063368523866,59.969085,1403.4548054192614,7,"On","Off",29.965327,"82.05735763545306"
"1",8,"Wednesday","No",26.312113992801667,51.40871089982412,1220.5471326051625,8,"On","Off",5.986875091349147,"83.88917674427188"
"1",19,"Sunday","Yes",20.51618553995076,40.918499706064985,1114.2301237129743,8,"Off","On",20.489097790934643,"66.20209750906106"
"7",3,"Wednesday","Yes",20.87942639874524,46.8592369655201,1096.2072273937638,7,"Off","On",21.32115666653711,"66.43917871187017"
"10",17,"Saturday","No",23.0152157359686,48.99815771179158,1999.982252,1,"Off","Off",3.96607458042736,"76.90227179904673"
"4",0,"Friday","No",29.998671,56.91616115652811,1476.481588058559,2,"Off","On",29.658899357871512,"77.37623840403519"
"2",9,"Tuesday","Yes",22.264566775822413,40.73575248864838,1315.02431090318,1,"Off","Off",20.540905795591527,"68.01886834133008"
"8",7,"Monday","Yes",25.30676096403999,38.954019723315184,1488.120020836826,8,"Off","On",0.006642,"80.27074038466411"
"5",20,"Thursday","Yes",20.007565,59.969085,1473.5258063701626,2,"Off","Off",12.747545511935968,"60.39682634809089"
"10",13,"Saturday","No",29.89411205743434,57.18847089537325,1880.476707011165,6,"Off","Off",23.69713042670861,"94.97855661120568"
"2",21,"Thursday","No",21.26410298335915,53.103580363326245,1950.1290995287943,3,"On","On",23.58646429338986,"67.04524826669969"
"10",19,"Monday","No",23.10481919400513,45.35040778214577,1654.3384206663486,3,"On","On",12.470220385813082,"64.00940658449268"
"6",6,"Friday","Yes",26.455075484773086,31.11875223244523,1383.198666848992,8,"On","Off",26.159758589366856,"80.26587119236632"
"11",2,"Friday","No",23.908724537929206,38.087184125176,1731.3022506178138,4,"Off","On",3.358586101582624,"56.39251758622343"
"9",23,"Sunday","No",22.242008125293754,31.48816919022418,1124.5412037113167,8,"On","Off",23.72670933948293,"77.72294809078015"
"10",19,"Tuesday","No",24.481603453425432,46.26116236102576,1595.6688036228916,4,"Off","Off",20.28151771004677,"72.61549643441467"
"1",16,"Sunday","Yes",27.625083013478267,34.41915558000024,1903.193880071234,6,"Off","On",21.230064863595214,"85.14000480874805"
"7",14,"Thursday","No",28.816258160012165,55.43913755390966,1044.1159620996507,3,"Off","Off",21.917363334163092,"91.0073364625029"
